Portfolio WBS,Description,Quantity,UOM,BAC,BAC Rate,Final Qty (AQ),Final Cost (AC),Final Rate,PQ,PV,AQ,AC,EV,Date,Project Name,Start,End
11,Survey - Construction,110.0,hrs,20350.0,185.0,103.0,19038.5,184.8398058252427,20.0,3700.0,16.0,2954.4,3161.165048543689,2011-04-01,P019 - P02 Landfill Cell,2011-04-01,2011-07-01
11,Survey - Construction,110.0,hrs,20350.0,185.0,103.0,19038.5,184.8398058252427,40.0,7400.0,59.5,11016.8,11755.582524271844,2011-05-01,P019 - P02 Landfill Cell,2011-04-01,2011-07-01
11,Survey - Construction,110.0,hrs,20350.0,185.0,103.0,19038.5,184.8398058252427,70.0,12950.0,91.0,16842.3,17979.126213592233,2011-06-01,P019 - P02 Landfill Cell,2011-04-01,2011-07-01
11,Survey - Construction,110.0,hrs,20350.0,185.0,103.0,19038.5,184.8398058252427,110.0,20350.0,103.0,19038.5,20350.0,2011-07-01,P019 - P02 Landfill Cell,2011-04-01,2011-07-01
13,QA Testing,1.0,item,5460.0,5460.0,1.0,11878.85,11878.85,0.0,0.0,0.0,0.0,0.0,2011-04-01,P019 - P02 Landfill Cell,2011-05-01,2011-07-01
13,QA Testing,1.0,item,5460.0,5460.0,1.0,11878.85,11878.85,0.5,2730.0,0.65,7389.85,3549.0,2011-05-01,P019 - P02 Landfill Cell,2011-05-01,2011-07-01
13,QA Testing,1.0,item,5460.0,5460.0,1.0,11878.85,11878.85,1.0,5460.0,0.65,7389.85,3549.0,2011-06-01,P019 - P02 Landfill Cell,2011-05-01,2011-07-01
13,QA Testing,1.0,item,5460.0,5460.0,1.0,11878.85,11878.85,1.0,5460.0,1.0,11878.85,5460.0,2011-07-01,P019 - P02 Landfill Cell,2011-05-01,2011-07-01
31,Strip Topsoil to Stockpile,2500.0,m3,20012.000000000004,8.004800000000001,2500.0,8287.17,3.314868,2500.0,20012.000000000004,2500.0,8287.17,20012.000000000004,2011-04-01,P019 - P02 Landfill Cell,2011-04-01,2011-07-01
31,Strip Topsoil to Stockpile,2500.0,m3,20012.000000000004,8.004800000000001,2500.0,8287.17,3.314868,2500.0,20012.000000000004,2500.0,8287.17,20012.000000000004,2011-05-01,P019 - P02 Landfill Cell,2011-04-01,2011-07-01
