Portfolio WBS,Description,Quantity,UOM,BAC,BAC Rate,Final Qty (AQ),Final Cost (AC),Final Rate,PQ,PV,AQ,AC,EV,Date,Project Name,Start,End
11,Survey - Construction,377.0,hrs,54760.0,145.25198938992042,477.0,71680.95,150.2745283018868,24.0,3486.04774535809,0.0,0.0,0.0,2011-10-01,P020 - P03 Regional Bypass Road,2011-10-01,2012-06-01
11,Survey - Construction,377.0,hrs,54760.0,145.25198938992042,477.0,71680.95,150.2745283018868,74.0,10748.64721485411,121.0,27510.7,13890.90146750524,2011-11-01,P020 - P03 Regional Bypass Road,2011-10-01,2012-06-01
11,Survey - Construction,377.0,hrs,54760.0,145.25198938992042,477.0,71680.95,150.2745283018868,150.0,21787.798408488063,330.0,49553.2,37884.276729559744,2011-12-01,P020 - P03 Regional Bypass Road,2011-10-01,2012-06-01
11,Survey - Construction,377.0,hrs,54760.0,145.25198938992042,477.0,71680.95,150.2745283018868,250.0,36312.99734748011,423.0,63518.2,48560.75471698114,2012-01-01,P020 - P03 Regional Bypass Road,2011-10-01,2012-06-01
11,Survey - Construction,377.0,hrs,54760.0,145.25198938992042,477.0,71680.95,150.2745283018868,325.0,47206.89655172414,423.0,63518.2,48560.75471698114,2012-02-01,P020 - P03 Regional Bypass Road,2011-10-01,2012-06-01
11,Survey - Construction,377.0,hrs,54760.0,145.25198938992042,477.0,71680.95,150.2745283018868,377.0,54760.0,423.0,63518.2,48560.75471698114,2012-03-01,P020 - P03 Regional Bypass Road,2011-10-01,2012-06-01
11,Survey - Construction,377.0,hrs,54760.0,145.25198938992042,477.0,71680.95,150.2745283018868,377.0,54760.0,423.0,63518.2,48560.75471698114,2012-04-01,P020 - P03 Regional Bypass Road,2011-10-01,2012-06-01
11,Survey - Construction,377.0,hrs,54760.0,145.25198938992042,477.0,71680.95,150.2745283018868,377.0,54760.0,423.0,63518.2,48560.75471698114,2012-05-01,P020 - P03 Regional Bypass Road,2011-10-01,2012-06-01
11,Survey - Construction,377.0,hrs,54760.0,145.25198938992042,477.0,71680.95,150.2745283018868,377.0,54760.0,477.0,71680.95,54760.0,2012-06-01,P020 - P03 Regional Bypass Road,2011-10-01,2012-06-01
13,QA Testing,1.0,item,37361.66666666667,37361.66666666667,1.0,12680.0,12680.0,0.0,0.0,0.0,200.0,0.0,2011-10-01,P020 - P03 Regional Bypass Road,2011-10-01,2012-02-01
13,QA Testing,1.0,item,37361.66666666667,37361.66666666667,1.0,12680.0,12680.0,0.2,7472.333333333335,0.0,350.0,0.0,2011-11-01,P020 - P03 Regional Bypass Road,2011-10-01,2012-02-01
13,QA Testing,1.0,item,37361.66666666667,37361.66666666667,1.0,12680.0,12680.0,0.5,18680.833333333336,0.0,350.0,0.0,2011-12-01,P020 - P03 Regional Bypass Road,2011-10-01,2012-02-01
13,QA Testing,1.0,item,37361.66666666667,37361.66666666667,1.0,12680.0,12680.0,0.7,26153.166666666668,0.0,350.0,0.0,2012-01-01,P020 - P03 Regional Bypass Road,2011-10-01,2012-02-01
13,QA Testing,1.0,item,37361.66666666667,37361.66666666667,1.0,12680.0,12680.0,1.0,37361.66666666667,1.0,12680.0,37361.66666666667,2012-02-01,P020 - P03 Regional Bypass Road,2011-10-01,2012-02-01
13,QA Testing,1.0,item,37361.66666666667,37361.66666666667,1.0,12680.0,12680.0,1.0,37361.66666666667,1.0,12680.0,37361.66666666667,2012-03-01,P020 - P03 Regional Bypass Road,2011-10-01,2012-02-01
13,QA Testing,1.0,item,37361.66666666667,37361.66666666667,1.0,12680.0,12680.0,1.0,37361.66666666667,1.0,12680.0,37361.66666666667,2012-04-01,P020 - P03 Regional Bypass Road,2011-10-01,2012-02-01
