Portfolio WBS,Description,Quantity,UOM,BAC,BAC Rate,Final Qty (AQ),Final Cost (AC),Final Rate,PQ,PV,AQ,AC,EV,Date,Project Name,Start,End
11,Survey - Construction,124.0,hrs,22940.0,185.0,121.0,23188.920000000002,185.69421487603304,12.0,2220.0,0.0,720.0,0.0,2011-09-01,P022 - P05 Semi-Urban Road Reconstruction,2011-09-01,2012-08-01
11,Survey - Construction,124.0,hrs,22940.0,185.0,121.0,23188.920000000002,185.69421487603304,24.0,4440.0,38.0,7669.1,7030.0,2011-10-01,P022 - P05 Semi-Urban Road Reconstruction,2011-09-01,2012-08-01
11,Survey - Construction,124.0,hrs,22940.0,185.0,121.0,23188.920000000002,185.69421487603304,56.0,10360.0,62.0,12165.0,11470.0,2011-11-01,P022 - P05 Semi-Urban Road Reconstruction,2011-09-01,2012-08-01
11,Survey - Construction,124.0,hrs,22940.0,185.0,121.0,23188.920000000002,185.69421487603304,68.0,12580.0,70.0,13592.52,12950.0,2011-12-01,P022 - P05 Semi-Urban Road Reconstruction,2011-09-01,2012-08-01
11,Survey - Construction,124.0,hrs,22940.0,185.0,121.0,23188.920000000002,185.69421487603304,84.0,15540.0,70.0,13592.52,12950.0,2012-01-01,P022 - P05 Semi-Urban Road Reconstruction,2011-09-01,2012-08-01
11,Survey - Construction,124.0,hrs,22940.0,185.0,121.0,23188.920000000002,185.69421487603304,96.0,17760.0,81.0,15710.37,14985.0,2012-02-01,P022 - P05 Semi-Urban Road Reconstruction,2011-09-01,2012-08-01
11,Survey - Construction,124.0,hrs,22940.0,185.0,121.0,23188.920000000002,185.69421487603304,104.0,19240.0,100.0,19270.52,18500.0,2012-03-01,P022 - P05 Semi-Urban Road Reconstruction,2011-09-01,2012-08-01
11,Survey - Construction,124.0,hrs,22940.0,185.0,121.0,23188.920000000002,185.69421487603304,124.0,22940.0,121.0,20342.920000000002,22385.0,2012-04-01,P022 - P05 Semi-Urban Road Reconstruction,2011-09-01,2012-08-01
11,Survey - Construction,124.0,hrs,22940.0,185.0,121.0,23188.920000000002,185.69421487603304,124.0,22940.0,121.0,20567.320000000003,22385.0,2012-05-01,P022 - P05 Semi-Urban Road Reconstruction,2011-09-01,2012-08-01
11,Survey - Construction,124.0,hrs,22940.0,185.0,121.0,23188.920000000002,185.69421487603304,124.0,22940.0,121.0,23188.920000000002,22385.0,2012-06-01,P022 - P05 Semi-Urban Road Reconstruction,2011-09-01,2012-08-01
11,Survey - Construction,124.0,hrs,22940.0,185.0,121.0,23188.920000000002,185.69421487603304,124.0,22940.0,121.0,23188.920000000002,22385.0,2012-07-01,P022 - P05 Semi-Urban Road Reconstruction,2011-09-01,2012-08-01
11,Survey - Construction,124.0,hrs,22940.0,185.0,121.0,23188.920000000002,185.69421487603304,124.0,22940.0,121.0,23188.920000000002,22940.0,2012-08-01,P022 - P05 Semi-Urban Road Reconstruction,2011-09-01,2012-08-01
13,QA Testing,1.0,item,33460.0,33460.0,1.0,5728.34,6448.0,0.1,3346.0,0.1,0.0,3346.0,2011-09-01,P022 - P05 Semi-Urban Road Reconstruction,2011-09-01,2012-03-01
13,QA Testing,1.0,item,33460.0,33460.0,1.0,5728.34,6448.0,0.2,6692.0,0.25,1600.0,8365.0,2011-10-01,P022 - P05 Semi-Urban Road Reconstruction,2011-09-01,2012-03-01
13,QA Testing,1.0,item,33460.0,33460.0,1.0,5728.34,6448.0,0.4,13384.0,0.4,2769.54,13384.0,2011-11-01,P022 - P05 Semi-Urban Road Reconstruction,2011-09-01,2012-03-01
13,QA Testing,1.0,item,33460.0,33460.0,1.0,5728.34,6448.0,0.6,20076.0,0.4,2769.54,13384.0,2011-12-01,P022 - P05 Semi-Urban Road Reconstruction,2011-09-01,2012-03-01
13,QA Testing,1.0,item,33460.0,33460.0,1.0,5728.34,6448.0,0.7,23422.0,0.75,4151.44,25095.0,2012-01-01,P022 - P05 Semi-Urban Road Reconstruction,2011-09-01,2012-03-01
13,QA Testing,1.0,item,33460.0,33460.0,1.0,5728.34,6448.0,0.9,30114.0,0.75,4151.44,25095.0,2012-02-01,P022 - P05 Semi-Urban Road Reconstruction,2011-09-01,2012-03-01
13,QA Testing,1.0,item,33460.0,33460.0,1.0,5728.34,6448.0,1.0,33460.0,1.0,5728.34,33460.0,2012-03-01,P022 - P05 Semi-Urban Road Reconstruction,2011-09-01,2012-03-01
13,QA Testing,1.0,item,33460.0,33460.0,1.0,5728.34,6448.0,1.0,33460.0,1.0,5728.34,33460.0,2012-04-01,P022 - P05 Semi-Urban Road Reconstruction,2011-09-01,2012-03-01
13,QA Testing,1.0,item,33460.0,33460.0,1.0,5728.34,6448.0,1.0,33460.0,1.0,5728.34,33460.0,2012-05-01,P022 - P05 Semi-Urban Road Reconstruction,2011-09-01,2012-03-01
13,QA Testing,1.0,item,33460.0,33460.0,1.0,5728.34,6448.0,1.0,33460.0,1.0,5728.34,33460.0,2012-06-01,P022 - P05 Semi-Urban Road Reconstruction,2011-09-01,2012-03-01
13,QA Testing,1.0,item,33460.0,33460.0,1.0,5728.34,6448.0,1.0,33460.0,1.0,5728.34,33460.0,2012-07-01,P022 - P05 Semi-Urban Road Reconstruction,2011-09-01,2012-03-01
13,QA Testing,1.0,item,33460.0,33460.0,1.0,5728.34,6448.0,1.0,33460.0,1.0,5728.34,33460.0,2012-08-01,P022 - P05 Semi-Urban Road Reconstruction,2011-09-01,2012-03-01
15,Service Locations,18.0,hrs,4455.0,247.5,3.5,857.5,245.14285714285714,0.0,0.0,0.0,0.0,0.0,2011-09-01,P022 - P05 Semi-Urban Road Reconstruction,2011-11-01,2012-08-01
15,Service Locations,18.0,hrs,4455.0,247.5,3.5,857.5,245.14285714285714,0.0,0.0,0.0,0.0,0.0,2011-10-01,P022 - P05 Semi-Urban Road Reconstruction,2011-11-01,2012-08-01
15,Service Locations,18.0,hrs,4455.0,247.5,3.5,857.5,245.14285714285714,0.0,0.0,0.0,130.0,0.0,2011-11-01,P022 - P05 Semi-Urban Road Reconstruction,2011-11-01,2012-08-01
15,Service Locations,18.0,hrs,4455.0,247.5,3.5,857.5,245.14285714285714,0.0,0.0,0.0,130.0,0.0,2011-12-01,P022 - P05 Semi-Urban Road Reconstruction,2011-11-01,2012-08-01
15,Service Locations,18.0,hrs,4455.0,247.5,3.5,857.5,245.14285714285714,18.0,4455.0,0.0,130.0,0.0,2012-01-01,P022 - P05 Semi-Urban Road Reconstruction,2011-11-01,2012-08-01
15,Service Locations,18.0,hrs,4455.0,247.5,3.5,857.5,245.14285714285714,18.0,4455.0,0.0,130.0,0.0,2012-02-01,P022 - P05 Semi-Urban Road Reconstruction,2011-11-01,2012-08-01
15,Service Locations,18.0,hrs,4455.0,247.5,3.5,857.5,245.14285714285714,18.0,4455.0,0.0,130.0,0.0,2012-03-01,P022 - P05 Semi-Urban Road Reconstruction,2011-11-01,2012-08-01
15,Service Locations,18.0,hrs,4455.0,247.5,3.5,857.5,245.14285714285714,18.0,4455.0,3.5,857.5,866.25,2012-04-01,P022 - P05 Semi-Urban Road Reconstruction,2011-11-01,2012-08-01
15,Service Locations,18.0,hrs,4455.0,247.5,3.5,857.5,245.14285714285714,18.0,4455.0,3.5,857.5,866.25,2012-05-01,P022 - P05 Semi-Urban Road Reconstruction,2011-11-01,2012-08-01
15,Service Locations,18.0,hrs,4455.0,247.5,3.5,857.5,245.14285714285714,18.0,4455.0,3.5,857.5,866.25,2012-06-01,P022 - P05 Semi-Urban Road Reconstruction,2011-11-01,2012-08-01
15,Service Locations,18.0,hrs,4455.0,247.5,3.5,857.5,245.14285714285714,18.0,4455.0,3.5,857.5,866.25,2012-07-01,P022 - P05 Semi-Urban Road Reconstruction,2011-11-01,2012-08-01
15,Service Locations,18.0,hrs,4455.0,247.5,3.5,857.5,245.14285714285714,18.0,4455.0,3.5,857.5,4455.0,2012-08-01,P022 - P05 Semi-Urban Road Reconstruction,2011-11-01,2012-08-01
22,Disposal offsite - Clearing waste,1.0,item,20750.0,20750.0,1.0,13933.58,13934.0,0.0,0.0,0.0,0.0,0.0,2011-09-01,P022 - P05 Semi-Urban Road Reconstruction,2011-10-01,2012-04-01
22,Disposal offsite - Clearing waste,1.0,item,20750.0,20750.0,1.0,13933.58,13934.0,0.5,10375.0,0.25,3641.7499999999995,5187.5,2011-10-01,P022 - P05 Semi-Urban Road Reconstruction,2011-10-01,2012-04-01
22,Disposal offsite - Clearing waste,1.0,item,20750.0,20750.0,1.0,13933.58,13934.0,1.0,20750.0,1.0,13933.58,20750.0,2011-11-01,P022 - P05 Semi-Urban Road Reconstruction,2011-10-01,2012-04-01
22,Disposal offsite - Clearing waste,1.0,item,20750.0,20750.0,1.0,13933.58,13934.0,1.0,20750.0,,13933.58,0.0,2011-12-01,P022 - P05 Semi-Urban Road Reconstruction,2011-10-01,2012-04-01
22,Disposal offsite - Clearing waste,1.0,item,20750.0,20750.0,1.0,13933.58,13934.0,1.0,20750.0,,13933.58,0.0,2012-01-01,P022 - P05 Semi-Urban Road Reconstruction,2011-10-01,2012-04-01
22,Disposal offsite - Clearing waste,1.0,item,20750.0,20750.0,1.0,13933.58,13934.0,1.0,20750.0,,13933.58,0.0,2012-02-01,P022 - P05 Semi-Urban Road Reconstruction,2011-10-01,2012-04-01
22,Disposal offsite - Clearing waste,1.0,item,20750.0,20750.0,1.0,13933.58,13934.0,1.0,20750.0,,13933.58,0.0,2012-03-01,P022 - P05 Semi-Urban Road Reconstruction,2011-10-01,2012-04-01
22,Disposal offsite - Clearing waste,1.0,item,20750.0,20750.0,1.0,13933.58,13934.0,1.0,20750.0,1.0,13933.58,20750.0,2012-04-01,P022 - P05 Semi-Urban Road Reconstruction,2011-10-01,2012-04-01
22,Disposal offsite - Clearing waste,1.0,item,20750.0,20750.0,1.0,13933.58,13934.0,1.0,20750.0,1.0,13933.58,20750.0,2012-05-01,P022 - P05 Semi-Urban Road Reconstruction,2011-10-01,2012-04-01
22,Disposal offsite - Clearing waste,1.0,item,20750.0,20750.0,1.0,13933.58,13934.0,1.0,20750.0,1.0,13933.58,20750.0,2012-06-01,P022 - P05 Semi-Urban Road Reconstruction,2011-10-01,2012-04-01
22,Disposal offsite - Clearing waste,1.0,item,20750.0,20750.0,1.0,13933.58,13934.0,1.0,20750.0,1.0,13933.58,20750.0,2012-07-01,P022 - P05 Semi-Urban Road Reconstruction,2011-10-01,2012-04-01
