Portfolio WBS,Description,Quantity,UOM,BAC,BAC Rate,Final Qty (AQ),Final Cost (AC),Final Rate,PQ,PV,AQ,AC,EV,Date,Project Name,Start,End
11,Survey - Construction,135.0,hr,32775.0,242.77777777777777,242.0,44729.58,184.83471074380165,0.0,0.0,0.0,0.0,0.0,2011-10-01,P024 - P06 Urban Road Reconstruction,2011-11-01,2012-10-01
11,Survey - Construction,135.0,hr,32775.0,242.77777777777777,242.0,44729.58,184.83471074380165,30.0,7283.333333333333,14.5,2701.68,1963.7913223140497,2011-11-01,P024 - P06 Urban Road Reconstruction,2011-11-01,2012-10-01
11,Survey - Construction,135.0,hr,32775.0,242.77777777777777,242.0,44729.58,184.83471074380165,45.0,10925.0,14.5,2701.68,1963.7913223140497,2011-12-01,P024 - P06 Urban Road Reconstruction,2011-11-01,2012-10-01
11,Survey - Construction,135.0,hr,32775.0,242.77777777777777,242.0,44729.58,184.83471074380165,60.0,14566.666666666666,20.5,3812.3799999999997,2776.3946280991736,2012-01-01,P024 - P06 Urban Road Reconstruction,2011-11-01,2012-10-01
11,Survey - Construction,135.0,hr,32775.0,242.77777777777777,242.0,44729.58,184.83471074380165,75.0,18208.333333333332,41.5,7648.379999999999,5620.506198347108,2012-02-01,P024 - P06 Urban Road Reconstruction,2011-11-01,2012-10-01
11,Survey - Construction,135.0,hr,32775.0,242.77777777777777,242.0,44729.58,184.83471074380165,90.0,21850.0,49.0,9078.38,6636.260330578512,2012-03-01,P024 - P06 Urban Road Reconstruction,2011-11-01,2012-10-01
11,Survey - Construction,135.0,hr,32775.0,242.77777777777777,242.0,44729.58,184.83471074380165,105.0,25491.666666666664,64.0,11980.48,8667.768595041323,2012-04-01,P024 - P06 Urban Road Reconstruction,2011-11-01,2012-10-01
11,Survey - Construction,135.0,hr,32775.0,242.77777777777777,242.0,44729.58,184.83471074380165,120.0,29133.333333333332,119.0,21999.28,16116.63223140496,2012-05-01,P024 - P06 Urban Road Reconstruction,2011-11-01,2012-10-01
11,Survey - Construction,135.0,hr,32775.0,242.77777777777777,242.0,44729.58,184.83471074380165,135.0,32775.0,119.0,21999.28,16116.63223140496,2012-06-01,P024 - P06 Urban Road Reconstruction,2011-11-01,2012-10-01
11,Survey - Construction,135.0,hr,32775.0,242.77777777777777,242.0,44729.58,184.83471074380165,135.0,32775.0,169.0,31311.879999999997,22888.326446280993,2012-07-01,P024 - P06 Urban Road Reconstruction,2011-11-01,2012-10-01
11,Survey - Construction,135.0,hr,32775.0,242.77777777777777,242.0,44729.58,184.83471074380165,135.0,32775.0,188.0,34782.13,25461.570247933883,2012-08-01,P024 - P06 Urban Road Reconstruction,2011-11-01,2012-10-01
11,Survey - Construction,135.0,hr,32775.0,242.77777777777777,242.0,44729.58,184.83471074380165,135.0,32775.0,230.0,42620.43,31149.793388429753,2012-09-01,P024 - P06 Urban Road Reconstruction,2011-11-01,2012-10-01
11,Survey - Construction,135.0,hr,32775.0,242.77777777777777,242.0,44729.58,184.83471074380165,135.0,32775.0,242.0,44729.58,32775.0,2012-10-01,P024 - P06 Urban Road Reconstruction,2011-11-01,2012-10-01
11,Survey - Construction,135.0,hr,32775.0,242.77777777777777,242.0,44729.58,184.83471074380165,135.0,32775.0,242.0,44729.58,32775.0,2012-11-01,P024 - P06 Urban Road Reconstruction,2011-11-01,2012-10-01
12,Survey - As Constructed,172.0,hr,23900.0,138.95348837209303,99.0,18263.07,184.4747474747475,0.0,0.0,0.0,0.0,0.0,2011-10-01,P024 - P06 Urban Road Reconstruction,2012-01-01,2012-11-01
12,Survey - As Constructed,172.0,hr,23900.0,138.95348837209303,99.0,18263.07,184.4747474747475,0.0,0.0,0.0,0.0,0.0,2011-11-01,P024 - P06 Urban Road Reconstruction,2012-01-01,2012-11-01
12,Survey - As Constructed,172.0,hr,23900.0,138.95348837209303,99.0,18263.07,184.4747474747475,0.0,0.0,0.0,0.0,0.0,2011-12-01,P024 - P06 Urban Road Reconstruction,2012-01-01,2012-11-01
12,Survey - As Constructed,172.0,hr,23900.0,138.95348837209303,99.0,18263.07,184.4747474747475,15.0,2084.3023255813955,0.0,0.0,0.0,2012-01-01,P024 - P06 Urban Road Reconstruction,2012-01-01,2012-11-01
