Portfolio WBS,Description,Quantity,UOM,BAC,BAC Rate,Final Qty (AQ),Final Cost (AC),Final Rate,PQ,PV,AQ,AC,EV,Date,Project Name,Start,End
11,Survey - Construction,100.0,hrs  ,15945.0,312.6470588235294,51.0,8207.5,160.9313725490196,10.0,1594.5,4.5,697.5,1406.9117647058824,2014-04-01,P038 - P17 Marina Sub-division,2014-04-01,2014-09-01
11,Survey - Construction,100.0,hrs  ,15945.0,312.6470588235294,51.0,8207.5,160.9313725490196,45.0,7175.25,0.0,4707.5,0.0,2014-05-01,P038 - P17 Marina Sub-division,2014-04-01,2014-09-01
11,Survey - Construction,100.0,hrs  ,15945.0,312.6470588235294,51.0,8207.5,160.9313725490196,60.0,9567.0,29.5,4707.5,9223.088235294119,2014-06-01,P038 - P17 Marina Sub-division,2014-04-01,2014-09-01
11,Survey - Construction,100.0,hrs  ,15945.0,312.6470588235294,51.0,8207.5,160.9313725490196,80.0,12756.0,45.0,7152.5,14069.117647058823,2014-07-01,P038 - P17 Marina Sub-division,2014-04-01,2014-09-01
11,Survey - Construction,100.0,hrs  ,15945.0,312.6470588235294,51.0,8207.5,160.9313725490196,95.0,15147.75,48.5,7752.5,15163.382352941177,2014-08-01,P038 - P17 Marina Sub-division,2014-04-01,2014-09-01
11,Survey - Construction,100.0,hrs  ,15945.0,312.6470588235294,51.0,8207.5,160.9313725490196,100.0,15945.0,51.0,8207.5,15945.0,2014-09-01,P038 - P17 Marina Sub-division,2014-04-01,2014-09-01
11,Survey - Construction,100.0,hrs  ,15945.0,312.6470588235294,51.0,8207.5,160.9313725490196,100.0,15945.0,51.0,8207.5,15945.0,2014-10-01,P038 - P17 Marina Sub-division,2014-04-01,2014-09-01
11,Survey - Construction,100.0,hrs  ,15945.0,312.6470588235294,51.0,8207.5,160.9313725490196,100.0,15945.0,51.0,8207.5,15945.0,2014-11-01,P038 - P17 Marina Sub-division,2014-04-01,2014-09-01
11,Survey - Construction,100.0,hrs  ,15945.0,312.6470588235294,51.0,8207.5,160.9313725490196,100.0,15945.0,51.0,8207.5,15945.0,2014-12-01,P038 - P17 Marina Sub-division,2014-04-01,2014-09-01
11,Survey - Construction,100.0,hrs  ,15945.0,312.6470588235294,51.0,8207.5,160.9313725490196,100.0,15945.0,51.0,8207.5,15945.0,2015-01-01,P038 - P17 Marina Sub-division,2014-04-01,2014-09-01
11,Survey - Construction,100.0,hrs  ,15945.0,312.6470588235294,51.0,8207.5,160.9313725490196,100.0,15945.0,51.0,8207.5,15945.0,2015-02-01,P038 - P17 Marina Sub-division,2014-04-01,2014-09-01
11,Survey - Construction,100.0,hrs  ,15945.0,312.6470588235294,51.0,8207.5,160.9313725490196,100.0,15945.0,51.0,8207.5,15945.0,2015-03-01,P038 - P17 Marina Sub-division,2014-04-01,2014-09-01
11,Survey - Construction,100.0,hrs  ,15945.0,312.6470588235294,51.0,8207.5,160.9313725490196,100.0,15945.0,51.0,8207.5,15945.0,2015-04-01,P038 - P17 Marina Sub-division,2014-04-01,2014-09-01
11,Survey - Construction,100.0,hrs  ,15945.0,312.6470588235294,51.0,8207.5,160.9313725490196,100.0,15945.0,51.0,8207.5,15945.0,2015-05-01,P038 - P17 Marina Sub-division,2014-04-01,2014-09-01
12,Survey - As Constructed,46.0,item ,7390.0,53.941605839416056,137.0,21901.0,159.86131386861314,0.0,0.0,0.0,0.0,0.0,2014-04-01,P038 - P17 Marina Sub-division,2014-07-01,2015-03-01
12,Survey - As Constructed,46.0,item ,7390.0,53.941605839416056,137.0,21901.0,159.86131386861314,0.0,0.0,0.0,0.0,0.0,2014-05-01,P038 - P17 Marina Sub-division,2014-07-01,2015-03-01
12,Survey - As Constructed,46.0,item ,7390.0,53.941605839416056,137.0,21901.0,159.86131386861314,0.0,0.0,0.0,0.0,0.0,2014-06-01,P038 - P17 Marina Sub-division,2014-07-01,2015-03-01
12,Survey - As Constructed,46.0,item ,7390.0,53.941605839416056,137.0,21901.0,159.86131386861314,10.0,1606.5217391304348,0.0,0.0,0.0,2014-07-01,P038 - P17 Marina Sub-division,2014-07-01,2015-03-01
12,Survey - As Constructed,46.0,item ,7390.0,53.941605839416056,137.0,21901.0,159.86131386861314,20.0,3213.0434782608695,4.5,725.0,242.7372262773723,2014-08-01,P038 - P17 Marina Sub-division,2014-07-01,2015-03-01
12,Survey - As Constructed,46.0,item ,7390.0,53.941605839416056,137.0,21901.0,159.86131386861314,20.0,3213.0434782608695,14.0,2207.5,755.1824817518249,2014-09-01,P038 - P17 Marina Sub-division,2014-07-01,2015-03-01
12,Survey - As Constructed,46.0,item ,7390.0,53.941605839416056,137.0,21901.0,159.86131386861314,30.0,4819.565217391304,51.0,8180.0,2751.021897810219,2014-10-01,P038 - P17 Marina Sub-division,2014-07-01,2015-03-01
12,Survey - As Constructed,46.0,item ,7390.0,53.941605839416056,137.0,21901.0,159.86131386861314,46.0,7390.0,73.0,11657.5,3937.7372262773724,2014-11-01,P038 - P17 Marina Sub-division,2014-07-01,2015-03-01
12,Survey - As Constructed,46.0,item ,7390.0,53.941605839416056,137.0,21901.0,159.86131386861314,46.0,7390.0,103.0,16551.0,5555.985401459854,2014-12-01,P038 - P17 Marina Sub-division,2014-07-01,2015-03-01
12,Survey - As Constructed,46.0,item ,7390.0,53.941605839416056,137.0,21901.0,159.86131386861314,46.0,7390.0,103.0,16551.0,5555.985401459854,2015-01-01,P038 - P17 Marina Sub-division,2014-07-01,2015-03-01
12,Survey - As Constructed,46.0,item ,7390.0,53.941605839416056,137.0,21901.0,159.86131386861314,46.0,7390.0,125.0,19943.5,6742.700729927007,2015-02-01,P038 - P17 Marina Sub-division,2014-07-01,2015-03-01
12,Survey - As Constructed,46.0,item ,7390.0,53.941605839416056,137.0,21901.0,159.86131386861314,46.0,7390.0,137.0,21901.0,7390.0,2015-03-01,P038 - P17 Marina Sub-division,2014-07-01,2015-03-01
12,Survey - As Constructed,46.0,item ,7390.0,53.941605839416056,137.0,21901.0,159.86131386861314,46.0,7390.0,137.0,21901.0,7390.0,2015-04-01,P038 - P17 Marina Sub-division,2014-07-01,2015-03-01
12,Survey - As Constructed,46.0,item ,7390.0,53.941605839416056,137.0,21901.0,159.86131386861314,46.0,7390.0,137.0,21901.0,7390.0,2015-05-01,P038 - P17 Marina Sub-division,2014-07-01,2015-03-01
13,QA Testing,1.0,item ,28731.0,28731.0,1.0,9470.380000000001,9470.380000000001,0.0,0.0,0.0,0.0,0.0,2014-04-01,P038 - P17 Marina Sub-division,2014-05-01,2015-03-01
13,QA Testing,1.0,item ,28731.0,28731.0,1.0,9470.380000000001,9470.380000000001,0.1,2873.1000000000004,0.1,2239.93,2873.1000000000004,2014-05-01,P038 - P17 Marina Sub-division,2014-05-01,2015-03-01
13,QA Testing,1.0,item ,28731.0,28731.0,1.0,9470.380000000001,9470.380000000001,0.2,5746.200000000001,0.1,2239.93,2873.1000000000004,2014-06-01,P038 - P17 Marina Sub-division,2014-05-01,2015-03-01
13,QA Testing,1.0,item ,28731.0,28731.0,1.0,9470.380000000001,9470.380000000001,0.3,8619.3,0.1,2365.3599999999997,2873.1000000000004,2014-07-01,P038 - P17 Marina Sub-division,2014-05-01,2015-03-01
13,QA Testing,1.0,item ,28731.0,28731.0,1.0,9470.380000000001,9470.380000000001,0.6,17238.6,0.35,3685.1499999999996,10055.849999999999,2014-08-01,P038 - P17 Marina Sub-division,2014-05-01,2015-03-01
13,QA Testing,1.0,item ,28731.0,28731.0,1.0,9470.380000000001,9470.380000000001,0.75,21548.25,0.5,5306.889999999999,14365.5,2014-09-01,P038 - P17 Marina Sub-division,2014-05-01,2015-03-01
13,QA Testing,1.0,item ,28731.0,28731.0,1.0,9470.380000000001,9470.380000000001,0.9,25857.9,0.65,6595.4,18675.15,2014-10-01,P038 - P17 Marina Sub-division,2014-05-01,2015-03-01
13,QA Testing,1.0,item ,28731.0,28731.0,1.0,9470.380000000001,9470.380000000001,1.0,28731.0,0.85,8332.36,24421.35,2014-11-01,P038 - P17 Marina Sub-division,2014-05-01,2015-03-01
13,QA Testing,1.0,item ,28731.0,28731.0,1.0,9470.380000000001,9470.380000000001,1.0,28731.0,0.95,9344.95,27294.449999999997,2014-12-01,P038 - P17 Marina Sub-division,2014-05-01,2015-03-01
13,QA Testing,1.0,item ,28731.0,28731.0,1.0,9470.380000000001,9470.380000000001,1.0,28731.0,0.95,9470.380000000001,27294.449999999997,2015-01-01,P038 - P17 Marina Sub-division,2014-05-01,2015-03-01
13,QA Testing,1.0,item ,28731.0,28731.0,1.0,9470.380000000001,9470.380000000001,1.0,28731.0,0.95,9470.380000000001,27294.449999999997,2015-02-01,P038 - P17 Marina Sub-division,2014-05-01,2015-03-01
13,QA Testing,1.0,item ,28731.0,28731.0,1.0,9470.380000000001,9470.380000000001,1.0,28731.0,1.0,9470.380000000001,28731.0,2015-03-01,P038 - P17 Marina Sub-division,2014-05-01,2015-03-01
13,QA Testing,1.0,item ,28731.0,28731.0,1.0,9470.380000000001,9470.380000000001,1.0,28731.0,1.0,9470.380000000001,28731.0,2015-04-01,P038 - P17 Marina Sub-division,2014-05-01,2015-03-01
13,QA Testing,1.0,item ,28731.0,28731.0,1.0,9470.380000000001,9470.380000000001,1.0,28731.0,1.0,9470.380000000001,28731.0,2015-05-01,P038 - P17 Marina Sub-division,2014-05-01,2015-03-01
15,Service Locations,1.0,item ,1998.0,0.0,0.0,0.0,0.0,1.0,1998.0,0.0,0.0,0.0,2014-04-01,P038 - P17 Marina Sub-division,2014-04-01,2015-03-01
15,Service Locations,1.0,item ,1998.0,0.0,0.0,0.0,0.0,1.0,1998.0,1.0,0.0,1998.0,2014-05-01,P038 - P17 Marina Sub-division,2014-04-01,2015-03-01
15,Service Locations,1.0,item ,1998.0,0.0,0.0,0.0,0.0,1.0,1998.0,1.0,0.0,1998.0,2014-06-01,P038 - P17 Marina Sub-division,2014-04-01,2015-03-01
15,Service Locations,1.0,item ,1998.0,0.0,0.0,0.0,0.0,1.0,1998.0,1.0,0.0,1998.0,2014-07-01,P038 - P17 Marina Sub-division,2014-04-01,2015-03-01
15,Service Locations,1.0,item ,1998.0,0.0,0.0,0.0,0.0,1.0,1998.0,1.0,0.0,0.0,2014-08-01,P038 - P17 Marina Sub-division,2014-04-01,2015-03-01
15,Service Locations,1.0,item ,1998.0,0.0,0.0,0.0,0.0,1.0,1998.0,1.0,0.0,1998.0,2014-09-01,P038 - P17 Marina Sub-division,2014-04-01,2015-03-01
15,Service Locations,1.0,item ,1998.0,0.0,0.0,0.0,0.0,1.0,1998.0,1.0,0.0,1998.0,2014-10-01,P038 - P17 Marina Sub-division,2014-04-01,2015-03-01
15,Service Locations,1.0,item ,1998.0,0.0,0.0,0.0,0.0,1.0,1998.0,1.0,0.0,1998.0,2014-11-01,P038 - P17 Marina Sub-division,2014-04-01,2015-03-01
15,Service Locations,1.0,item ,1998.0,0.0,0.0,0.0,0.0,1.0,1998.0,1.0,0.0,1998.0,2014-12-01,P038 - P17 Marina Sub-division,2014-04-01,2015-03-01
15,Service Locations,1.0,item ,1998.0,0.0,0.0,0.0,0.0,1.0,1998.0,1.0,0.0,1998.0,2015-01-01,P038 - P17 Marina Sub-division,2014-04-01,2015-03-01
15,Service Locations,1.0,item ,1998.0,0.0,0.0,0.0,0.0,1.0,1998.0,1.0,0.0,1998.0,2015-02-01,P038 - P17 Marina Sub-division,2014-04-01,2015-03-01
15,Service Locations,1.0,item ,1998.0,0.0,0.0,0.0,0.0,1.0,1998.0,0.0,0.0,1998.0,2015-03-01,P038 - P17 Marina Sub-division,2014-04-01,2015-03-01
15,Service Locations,1.0,item ,1998.0,0.0,0.0,0.0,0.0,1.0,1998.0,0.0,0.0,1998.0,2015-04-01,P038 - P17 Marina Sub-division,2014-04-01,2015-03-01
15,Service Locations,1.0,item ,1998.0,0.0,0.0,0.0,0.0,1.0,1998.0,0.0,0.0,1998.0,2015-05-01,P038 - P17 Marina Sub-division,2014-04-01,2015-03-01
41,Demolition works,0.0,item ,0.0,0.0,1.0,1682.9,1682.9,0.0,0.0,0.0,0.0,0.0,2014-04-01,P038 - P17 Marina Sub-division,2014-11-01,2014-11-01
41,Demolition works,0.0,item ,0.0,0.0,1.0,1682.9,1682.9,0.0,0.0,0.0,0.0,0.0,2014-05-01,P038 - P17 Marina Sub-division,2014-11-01,2014-11-01
41,Demolition works,0.0,item ,0.0,0.0,1.0,1682.9,1682.9,0.0,0.0,0.0,0.0,0.0,2014-06-01,P038 - P17 Marina Sub-division,2014-11-01,2014-11-01
41,Demolition works,0.0,item ,0.0,0.0,1.0,1682.9,1682.9,0.0,0.0,0.0,0.0,0.0,2014-07-01,P038 - P17 Marina Sub-division,2014-11-01,2014-11-01
41,Demolition works,0.0,item ,0.0,0.0,1.0,1682.9,1682.9,0.0,0.0,0.0,0.0,0.0,2014-08-01,P038 - P17 Marina Sub-division,2014-11-01,2014-11-01
41,Demolition works,0.0,item ,0.0,0.0,1.0,1682.9,1682.9,0.0,0.0,0.0,0.0,0.0,2014-09-01,P038 - P17 Marina Sub-division,2014-11-01,2014-11-01
