Portfolio WBS,Description,Quantity,UOM,BAC,BAC Rate,Final Qty (AQ),Final Cost (AC),Final Rate,PQ,PV,AQ,AC,EV,Date,Project Name,Start,End
11,Survey - Construction,180.0,hr   ,33305.5,185.03055555555557,198.0,36667.299999999996,185.18838383838383,0.0,0.0,0.0,0.0,0.0,2014-09-01,P039 - P18 Rural Road Repairs,2014-10-01,2015-03-01
11,Survey - Construction,180.0,hr   ,33305.5,185.03055555555557,198.0,36667.299999999996,185.18838383838383,100.0,18503.055555555555,108.0,20034.6,18166.636363636364,2014-10-01,P039 - P18 Rural Road Repairs,2014-10-01,2015-03-01
11,Survey - Construction,180.0,hr   ,33305.5,185.03055555555557,198.0,36667.299999999996,185.18838383838383,100.0,18503.055555555555,108.0,20034.6,18166.636363636364,2014-11-01,P039 - P18 Rural Road Repairs,2014-10-01,2015-03-01
11,Survey - Construction,180.0,hr   ,33305.5,185.03055555555557,198.0,36667.299999999996,185.18838383838383,100.0,18503.055555555555,108.0,20034.6,18166.636363636364,2014-12-01,P039 - P18 Rural Road Repairs,2014-10-01,2015-03-01
11,Survey - Construction,180.0,hr   ,33305.5,185.03055555555557,198.0,36667.299999999996,185.18838383838383,150.0,27754.583333333336,164.0,30386.6,27586.37373737374,2015-01-01,P039 - P18 Rural Road Repairs,2014-10-01,2015-03-01
11,Survey - Construction,180.0,hr   ,33305.5,185.03055555555557,198.0,36667.299999999996,185.18838383838383,165.0,30530.041666666668,182.0,33608.299999999996,30614.14646464647,2015-02-01,P039 - P18 Rural Road Repairs,2014-10-01,2015-03-01
11,Survey - Construction,180.0,hr   ,33305.5,185.03055555555557,198.0,36667.299999999996,185.18838383838383,180.0,33305.5,198.0,36667.299999999996,33305.5,2015-03-01,P039 - P18 Rural Road Repairs,2014-10-01,2015-03-01
13,QA Testing,0.0,Item ,0.0,0.0,1.0,4536.0,4536.0,0.0,0.0,0.0,0.0,0.0,2014-09-01,P039 - P18 Rural Road Repairs,2014-10-01,2014-12-01
13,QA Testing,0.0,Item ,0.0,0.0,1.0,4536.0,4536.0,0.0,0.0,0.5,2430.0,0.0,2014-10-01,P039 - P18 Rural Road Repairs,2014-10-01,2014-12-01
13,QA Testing,0.0,Item ,0.0,0.0,1.0,4536.0,4536.0,0.0,0.0,0.9,4239.0,0.0,2014-11-01,P039 - P18 Rural Road Repairs,2014-10-01,2014-12-01
13,QA Testing,0.0,Item ,0.0,0.0,1.0,4536.0,4536.0,0.0,0.0,1.0,4536.0,0.0,2014-12-01,P039 - P18 Rural Road Repairs,2014-10-01,2014-12-01
13,QA Testing,0.0,Item ,0.0,0.0,1.0,4536.0,4536.0,0.0,0.0,1.0,4536.0,0.0,2015-01-01,P039 - P18 Rural Road Repairs,2014-10-01,2014-12-01
13,QA Testing,0.0,Item ,0.0,0.0,1.0,4536.0,4536.0,0.0,0.0,1.0,4536.0,0.0,2015-02-01,P039 - P18 Rural Road Repairs,2014-10-01,2014-12-01
13,QA Testing,0.0,Item ,0.0,0.0,1.0,4536.0,4536.0,0.0,0.0,1.0,4536.0,0.0,2015-03-01,P039 - P18 Rural Road Repairs,2014-10-01,2014-12-01
16,GPS Hire,8.0,Weeks,8000.0,1000.0,14.4,12966.0,900.4166666666666,0.0,0.0,0.0,0.0,0.0,2014-09-01,P039 - P18 Rural Road Repairs,2014-10-01,2015-03-01
16,GPS Hire,8.0,Weeks,8000.0,1000.0,14.4,12966.0,900.4166666666666,1.0,1000.0,1.0,900.0,555.5555555555555,2014-10-01,P039 - P18 Rural Road Repairs,2014-10-01,2015-03-01
