Portfolio WBS,Quantity,UOM,BAC,BAC Rate,Planned Quantity,Planned Value,Actual Cost,Month,predicted_DT,predicted_RF,predicted_LR,predicted_SVM
11,94.0,hrs,23680.0,251.91,10.0,2519.15,1400.0,April,3058.72,2155.8,577.97,2565.94
11,94.0,hrs,23680.0,251.91,25.0,6297.87,4508.3,June,5629.51,4702.71,4850.67,5056.96
11,94.0,hrs,23680.0,251.91,15.0,3778.72,3163.45,July,3058.72,2685.77,2338.94,2656.28
11,94.0,hrs,23680.0,251.91,20.0,5038.3,10806.55,August,3058.72,7975.93,10375.69,6229.62
11,94.0,hrs,23680.0,251.91,20.0,5038.3,790.5,September,1654.63,2912.43,1406.43,2370.42
11,94.0,hrs,23680.0,251.91,4.0,1007.66,4210.0,November,2954.94,3595.87,3454.91,3430.9
13,1.0,item,14950.0,14950.0,0.1,1495.0,90.0,May,2681.29,1918.93,1768.83,2419.05
13,1.0,item,14950.0,14950.0,0.15,2242.5,2560.0,June,1899.18,2248.43,2977.86,2015.82
13,1.0,item,14950.0,14950.0,0.25,3737.5,2400.0,July,1899.18,1642.74,1641.13,1410.27
13,1.0,item,14950.0,14950.0,0.25,3737.5,1800.0,August,1899.18,2012.06,2028.1,1777.36
13,1.0,item,14950.0,14950.0,0.25,3737.5,800.0,September,1654.63,2110.13,968.43,1618.23
21,2350.0,m3,4482.0,1.91,1850.0,3528.38,9101.37,May,7179.81,7385.02,8519.76,7146.88
31,1151.0,m3,9869.83,8.58,651.0,5582.32,13286.15,May,7179.81,10938.69,9043.35,9634.63
33,389.0,m3,5539.36,14.24,389.0,5539.36,8184.18,September,7179.81,9554.52,10236.46,8184.28
41,1.0,item,29059.43,29059.43,0.25,7264.86,8267.74,July,5629.51,5822.63,7435.54,4937.28
41,1.0,item,29059.43,29059.43,0.25,7264.86,782.94,August,5629.51,2410.34,1830.98,2859.19
41,1.0,item,29059.43,29059.43,0.25,7264.86,4860.0,September,4719.61,5775.11,6101.0,4604.22
51,2848.0,m3,20085.73,7.05,1400.0,9873.6,17147.74,July,23096.37,14289.34,8372.15,16372.54
51,2848.0,m3,20085.73,7.05,1448.0,10212.13,16924.53,August,23096.37,14652.09,8696.14,16736.04
52,7508.0,m3,94981.44,12.65,1000.0,12650.7,1484.0,May,23096.37,12239.08,8785.62,14915.63
52,7508.0,m3,94981.44,12.65,4000.0,50602.79,86356.85,June,20347.42,28289.85,30221.56,24423.59
52,7508.0,m3,94981.44,12.65,1000.0,12650.7,42809.12,July,23096.37,29399.01,36361.29,25380.91
52,7508.0,m3,94981.44,12.65,1508.0,19077.25,34220.97,August,70121.96,33831.17,31418.13,43144.72
