Portfolio WBS,Description,Quantity,UOM,BAC,BAC Rate,Final Qty (AQ),Final Cost (AC),Final Rate,PQ,PV,AQ,AC,EV,Date,Project Name,Start,End,Planned Quantity,Planned Value,Actual Quantity,Actual Cost,Earned Value
11,Survey - Construction,94.0,hrs,23680.0,251.91489361702128,146.0,27030.0,185.13698630136983,10.0,2519.148936170213,7.6,1400.0,1232.657534246575,2011-04-01,P018 - P01 Airport Carpark,2011-04-01,2011-11-01,10.0,2519.148936170213,7.6,1400.0,1232.657534246575
11,Survey - Construction,94.0,hrs,23680.0,251.91489361702128,146.0,27030.0,185.13698630136983,35.0,8817.021276595744,31.9,5908.3,5173.9178082191775,2011-06-01,P018 - P01 Airport Carpark,2011-04-01,2011-11-01,25.0,6297.872340425531,24.299999999999997,4508.3,3941.2602739726026
11,Survey - Construction,94.0,hrs,23680.0,251.91489361702128,146.0,27030.0,185.13698630136983,50.0,12595.744680851063,49.0,9071.75,7947.397260273973,2011-07-01,P018 - P01 Airport Carpark,2011-04-01,2011-11-01,15.0,3778.723404255319,17.1,3163.45,2773.4794520547957
11,Survey - Construction,94.0,hrs,23680.0,251.91489361702128,146.0,27030.0,185.13698630136983,70.0,17634.042553191488,107.4,19878.3,17419.397260273974,2011-08-01,P018 - P01 Airport Carpark,2011-04-01,2011-11-01,20.0,5038.297872340425,58.400000000000006,10806.55,9472.0
11,Survey - Construction,94.0,hrs,23680.0,251.91489361702128,146.0,27030.0,185.13698630136983,90.0,22672.340425531915,111.7,20668.8,18116.821917808214,2011-09-01,P018 - P01 Airport Carpark,2011-04-01,2011-11-01,20.0,5038.297872340427,4.299999999999997,790.5,697.4246575342404
11,Survey - Construction,94.0,hrs,23680.0,251.91489361702128,146.0,27030.0,185.13698630136983,90.0,22672.340425531915,130.9,24220.2,24220.0,2011-10-01,P018 - P01 Airport Carpark,2011-04-01,2011-11-01,0.0,0.0,19.200000000000003,3551.4000000000015,6103.1780821917855
11,Survey - Construction,94.0,hrs,23680.0,251.91489361702128,146.0,27030.0,185.13698630136983,94.0,23680.0,146.0,28430.2,23680.0,2011-11-01,P018 - P01 Airport Carpark,2011-04-01,2011-11-01,4.0,1007.6595744680853,15.099999999999994,4210.0,-540.0
13,QA Testing,1.0,item,14950.0,14950.0,1.0,7650.0,7650.0,0.1,1495.0,0.0,90.0,0.0,2011-05-01,P018 - P01 Airport Carpark,2011-05-01,2011-09-01,0.1,1495.0,0.0,90.0,0.0
13,QA Testing,1.0,item,14950.0,14950.0,1.0,7650.0,7650.0,0.25,3737.5,0.25,2650.0,3737.5,2011-06-01,P018 - P01 Airport Carpark,2011-05-01,2011-09-01,0.15,2242.5,0.25,2560.0,3737.5
13,QA Testing,1.0,item,14950.0,14950.0,1.0,7650.0,7650.0,0.5,7475.0,0.65,5050.0,9717.5,2011-07-01,P018 - P01 Airport Carpark,2011-05-01,2011-09-01,0.25,3737.5,0.4,2400.0,5980.0
13,QA Testing,1.0,item,14950.0,14950.0,1.0,7650.0,7650.0,0.75,11212.5,0.9,6850.0,13455.0,2011-08-01,P018 - P01 Airport Carpark,2011-05-01,2011-09-01,0.25,3737.5,0.25,1800.0,3737.5
13,QA Testing,1.0,item,14950.0,14950.0,1.0,7650.0,7650.0,1.0,14950.0,1.0,7650.0,14950.0,2011-09-01,P018 - P01 Airport Carpark,2011-05-01,2011-09-01,0.25,3737.5,0.09999999999999998,800.0,1495.0
15,Service Locations,0.0,     ,0.0,0.0,1.0,1105.0,1105.0,0.0,0.0,0.1,130.0,0.0,2011-07-01,P018 - P01 Airport Carpark,2011-07-01,2011-10-01,0.0,0.0,0.1,130.0,0.0
15,Service Locations,0.0,     ,0.0,0.0,1.0,1105.0,1105.0,0.0,0.0,0.9,910.0,0.0,2011-09-01,P018 - P01 Airport Carpark,2011-07-01,2011-10-01,0.0,0.0,0.8,780.0,0.0
15,Service Locations,0.0,     ,0.0,0.0,1.0,1105.0,1105.0,0.0,0.0,1.0,1105.0,0.0,2011-10-01,P018 - P01 Airport Carpark,2011-07-01,2011-10-01,0.0,0.0,0.09999999999999998,195.0,0.0
21,Clearing to Stockpile,2350.0,m3,4482.0,1.9072340425531915,2350.0,12096.0,5.147234042553191,500.0,953.6170212765958,0.0,0.0,0.0,2011-04-01,P018 - P01 Airport Carpark,2011-04-01,2011-08-01,500.0,953.6170212765958,0.0,0.0,0.0
21,Clearing to Stockpile,2350.0,m3,4482.0,1.9072340425531915,2350.0,12096.0,5.147234042553191,2350.0,4482.0,1750.0,9101.370000000004,3337.659574468085,2011-05-01,P018 - P01 Airport Carpark,2011-04-01,2011-08-01,1850.0,3528.3829787234044,1750.0,9101.370000000004,3337.659574468085
21,Clearing to Stockpile,2350.0,m3,4482.0,1.9072340425531915,2350.0,12096.0,5.147234042553191,2350.0,4482.0,2200.0,11312.405000000002,4195.914893617021,2011-07-01,P018 - P01 Airport Carpark,2011-04-01,2011-08-01,0.0,0.0,450.0,2211.034999999998,858.2553191489365
21,Clearing to Stockpile,2350.0,m3,4482.0,1.9072340425531915,2350.0,12096.0,5.147234042553191,2350.0,4482.0,2350.0,12095.585000000005,4482.0,2011-08-01,P018 - P01 Airport Carpark,2011-04-01,2011-08-01,0.0,0.0,150.0,783.1800000000021,286.08510638297867
22,Disposal offsite - Clearing waste,14033.0,     ,8832.0,0.6293736193258748,0.0,0.0,0.0,4500.0,2832.1812869664363,0.0,0.0,0.0,2011-04-01,P018 - P01 Airport Carpark,2011-04-01,2011-08-01,4500.0,2832.1812869664363,0.0,0.0,0.0
22,Disposal offsite - Clearing waste,14033.0,     ,8832.0,0.6293736193258748,0.0,0.0,0.0,14033.0,8832.0,0.0,0.0,0.0,2011-05-01,P018 - P01 Airport Carpark,2011-04-01,2011-08-01,9533.0,5999.818713033564,0.0,0.0,0.0
22,Disposal offsite - Clearing waste,14033.0,     ,8832.0,0.6293736193258748,0.0,0.0,0.0,14033.0,8832.0,0.0,0.0,8268.255319148937,2011-07-01,P018 - P01 Airport Carpark,2011-04-01,2011-08-01,0.0,0.0,0.0,0.0,8268.255319148937
22,Disposal offsite - Clearing waste,14033.0,     ,8832.0,0.6293736193258748,0.0,0.0,0.0,14033.0,8832.0,0.0,0.0,8832.0,2011-08-01,P018 - P01 Airport Carpark,2011-04-01,2011-08-01,0.0,0.0,0.0,0.0,563.7446808510631
23,Mulching,14033.0,     ,7000.0,0.4988242000997648,0.0,0.0,0.0,14033.0,7000.0,0.0,0.0,0.0,2011-06-01,P018 - P01 Airport Carpark,2011-06-01,2011-08-01,14033.0,7000.0,0.0,0.0,0.0
23,Mulching,14033.0,     ,7000.0,0.4988242000997648,0.0,0.0,0.0,14033.0,7000.0,0.0,0.0,7000.0,2011-08-01,P018 - P01 Airport Carpark,2011-06-01,2011-08-01,0.0,0.0,0.0,0.0,7000.0
